自用拼音	中古拼音(polyhedron 版)
jьüi̍t	jyt
pīn	pin
pi̍t	pit
phīn	phin
bīn	bin
bi̍t	bit
mīn	min
mǐn	minx
mi̍t	mit
ṭīn	trin
ṭǐn	trinx
ṭìn	trinh
ṭi̍t	trit
ṭhīn	thrin
ṭhǐn	thrinx
ṭhìn	thrinh
ṭhi̍t	thrit
ḍīn	drin
ḍǐn	drinx
ḍìn	drinh
ḍi̍t	drit
ṇīn	nrin
ṇi̍t	nrit
tšhìn	chrinh
tšhi̍t	chrit
džǐn	zrinx
dži̍t	zrit
kīn	kin
ki̍t	kit
gīn	gin
gìn	ginh
gi̍t	git
ŋīn	ngin
ŋǐn	nginx
ŋìn	nginh
